Label,Dst Port,Protocol,time,act_time,COUNT_instances,Timestamp_analog,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
DoS attacks-Slowloris,80,6,12.05434783,11,184,12,15/02/2018 11:00:12,29115546,4,3,238,0,230,0,59.5,113.7292106,0,0,0,0,8.174327213,0.240421389,4852591,11886177.88,29115150,2,29115544,9705181.333,16809530.28,29115155,100,29115536,14557768,20587249.89,29115152,384,0,0,0,0,136,104,0.137383651,0.103037738,0,230,29.75,80.96163112,6554.785714,0,0,0,1,0,0,0,0,0,34,59.5,0,0,0,0,0,0,0,4,238,3,0,26883,219,2,32,394,0,394,394,29115150,0,29115150,29115150,DoS attacks-Slowloris
DoS attacks-Slowloris,80,6,12.05978261,12,184,12,15/02/2018 11:00:12,29113013,4,3,238,0,230,0,59.5,113.7292106,0,0,0,0,8.175038427,0.240442307,4852168.833,11885126.15,29112581,2,29113011,9704337,16808036.68,29112586,33,29113010,14556505,20585402.92,29112583,427,0,0,0,0,136,104,0.137395604,0.103046703,0,230,29.75,80.96163112,6554.785714,0,0,0,1,0,0,0,0,0,34,59.5,0,0,0,0,0,0,0,4,238,3,0,26883,219,2,32,430,0,430,430,29112581,0,29112581,29112581,DoS attacks-Slowloris
DoS attacks-Slowloris,80,6,12.06521739,13,184,12,15/02/2018 11:00:12,29114095,4,3,238,0,230,0,59.5,113.7292106,0,0,0,0,8.174734609,0.240433371,4852349.167,11885568.37,29113664,2,29114093,9704697.667,16808661.37,29113668,2,29114092,14557046,20586169.43,29113666,426,0,0,0,0,136,104,0.137390498,0.103042873,0,230,29.75,80.96163112,6554.785714,0,0,0,1,0,0,0,0,0,34,59.5,0,0,0,0,0,0,0,4,238,3,0,26883,219,2,32,429,0,429,429,29113664,0,29113664,29113664,DoS attacks-Slowloris
DoS attacks-Slowloris,80,6,12.07065217,14,184,12,15/02/2018 11:00:12,29112483,4,3,238,0,230,0,59.5,113.7292106,0,0,0,0,8.175187256,0.240446684,4852080.5,11884913.7,29112059,2,29112481,9704160.333,16807736.74,29112063,26,29112480,14556240,20585039.47,29112061,419,0,0,0,0,136,104,0.137398105,0.103048579,0,230,29.75,80.96163112,6554.785714,0,0,0,1,0,0,0,0,0,34,59.5,0,0,0,0,0,0,0,4,238,3,0,26883,219,2,32,422,0,422,422,29112059,0,29112059,29112059,DoS attacks-Slowloris
DoS attacks-Slowloris,80,6,12.07608696,15,184,12,15/02/2018 11:00:12,29113543,4,3,238,0,230,0,59.5,113.7292106,0,0,0,0,8.174889604,0.24043793,4852257.167,11885320.97,29113067,2,29113541,9704513.667,16808303.7,29113071,59,29113540,14556770,20585715.46,29113069,471,0,0,0,0,136,104,0.137393103,0.103044827,0,230,29.75,80.96163112,6554.785714,0,0,0,1,0,0,0,0,0,34,59.5,0,0,0,0,0,0,0,4,238,3,0,26883,219,2,32,474,0,474,474,29113067,0,29113067,29113067,DoS attacks-Slowloris
DoS attacks-Slowloris,80,6,12.08152174,16,184,12,15/02/2018 11:00:12,29111955,4,3,238,0,230,0,59.5,113.7292106,0,0,0,0,8.175335528,0.240451045,4851992.5,11884667.77,29111469,2,29111953,9703984.333,16807378.21,29111473,80,29111944,14555972,20584584.09,29111471,473,0,0,0,0,136,104,0.137400597,0.103050448,0,230,29.75,80.96163112,6554.785714,0,0,0,1,0,0,0,0,0,34,59.5,0,0,0,0,0,0,0,4,238,3,0,26883,219,2,32,484,0,484,484,29111469,0,29111469,29111469,DoS attacks-Slowloris
DoS attacks-Slowloris,80,6,12.08695652,17,184,12,15/02/2018 11:00:12,29111379,4,3,238,0,230,0,59.5,113.7292106,0,0,0,0,8.175497286,0.240455803,4851896.5,11884449.77,29110928,2,29111377,9703792.333,16807075.97,29110932,79,29111376,14555688,20584220.64,29110930,446,0,0,0,0,136,104,0.137403316,0.103052487,0,230,29.75,80.96163112,6554.785714,0,0,0,1,0,0,0,0,0,34,59.5,0,0,0,0,0,0,0,4,238,3,0,26883,219,2,32,449,0,449,449,29110928,0,29110928,29110928,DoS attacks-Slowloris
DoS attacks-Slowloris,80,6,12.0923913,18,184,12,15/02/2018 11:00:12,29110805,4,3,238,0,230,0,59.5,113.7292106,0,0,0,0,8.175658488,0.240460544,4851800.833,11884203.67,29110330,2,29110803,9703601,16806723.78,29110334,62,29110802,14555401,20583780.82,29110332,470,0,0,0,0,136,104,0.137406025,0.103054519,0,230,29.75,80.96163112,6554.785714,0,0,0,1,0,0,0,0,0,34,59.5,0,0,0,0,0,0,0,4,238,3,0,26883,219,2,32,473,0,473,473,29110330,0,29110330,29110330,DoS attacks-Slowloris
DoS attacks-Slowloris,80,6,12.09782609,19,184,12,15/02/2018 11:00:12,29110224,4,3,238,0,230,0,59.5,113.7292106,0,0,0,0,8.175821663,0.240465343,4851704,11883985.1,29109787,2,29110222,9703407.333,16806421.25,29109791,46,29110221,14555110.5,20583423.73,29109789,432,0,0,0,0,136,104,0.137408767,0.103056576,0,230,29.75,80.96163112,6554.785714,0,0,0,1,0,0,0,0,0,34,59.5,0,0,0,0,0,0,0,4,238,3,0,26883,219,2,32,435,0,435,435,29109787,0,29109787,29109787,DoS attacks-Slowloris
DoS attacks-Slowloris,80,6,12.10326087,20,184,12,15/02/2018 11:00:12,29109722,4,3,238,0,230,0,59.5,113.7292106,0,0,0,0,8.175962656,0.24046949,4851620.333,11883797.3,29109320,2,29109720,9703240,16806160.87,29109323,2,29109719,14554859.5,20583118.26,29109322,397,0,0,0,0,136,104,0.137411137,0.103058353,0,230,29.75,80.96163112,6554.785714,0,0,0,1,0,0,0,0,0,34,59.5,0,0,0,0,0,0,0,4,238,3,0,26883,219,2,32,400,0,400,400,29109320,0,29109320,29109320,DoS attacks-Slowloris
DoS attacks-Slowloris,80,6,12.10869565,21,184,12,15/02/2018 11:00:12,29109222,4,3,238,0,230,0,59.5,113.7292106,0,0,0,0,8.176103092,0.24047362,4851537,11883559.87,29108752,1,29109221,9703073.667,16805813.88,29108756,93,29109219,14554609.5,20582667.13,29108753,466,0,0,0,0,136,104,0.137413497,0.103060123,0,230,29.75,80.96163112,6554.785714,0,0,0,1,0,0,0,0,0,34,59.5,0,0,0,0,0,0,0,4,238,3,0,26883,219,2,32,469,0,469,469,29108752,0,29108752,29108752,DoS attacks-Slowloris
DoS attacks-Slowloris,80,6,12.11413043,22,184,12,15/02/2018 11:00:12,29108662,4,3,238,0,230,0,59.5,113.7292106,0,0,0,0,8.176260386,0.240478247,4851443.667,11883323.41,29108176,1,29108661,9702887,16805476.71,29108180,32,29108659,14554329.5,20582248.52,29108177,482,0,0,0,0,136,104,0.137416141,0.103062106,0,230,29.75,80.96163112,6554.785714,0,0,0,1,0,0,0,0,0,34,59.5,0,0,0,0,0,0,0,4,238,3,0,26883,219,2,32,485,0,485,485,29108176,0,29108176,29108176,DoS attacks-Slowloris
DoS attacks-Slowloris,80,6,12.11956522,23,184,12,15/02/2018 11:00:12,29108071,4,3,238,0,230,0,59.5,113.7292106,0,0,0,0,8.176426394,0.240483129,4851345.167,11883083.11,29107587,2,29108069,9702689.667,16805137.51,29107591,121,29108068,14554034,20581834.86,29107589,479,0,0,0,0,136,104,0.137418931,0.103064198,0,230,29.75,80.96163112,6554.785714,0,0,0,1,0,0,0,0,0,34,59.5,0,0,0,0,0,0,0,4,238,3,0,26883,219,2,32,482,0,482,482,29107587,0,29107587,29107587,DoS attacks-Slowloris
DoS attacks-Slowloris,80,6,12.125,24,184,12,15/02/2018 11:00:12,29107447,4,3,238,0,230,0,59.5,113.7292106,0,0,0,0,8.176601679,0.240488285,4851241.167,11881976.47,29105224,2,29107445,9702481.667,16803274.73,29105232,8,29107444,14553722,20578934.31,29105226,2218,0,0,0,0,136,104,0.137421877,0.103066408,0,230,29.75,80.96163112,6554.785714,0,0,0,1,0,0,0,0,0,34,59.5,0,0,0,0,0,0,0,4,238,3,0,26883,219,2,32,2221,0,2221,2221,29105224,0,29105224,29105224,DoS attacks-Slowloris
DoS attacks-Slowloris,80,6,12.13043478,25,184,12,15/02/2018 11:00:12,29105247,4,3,238,0,230,0,59.5,113.7292106,0,0,0,0,8.17721973,0.240506463,4850874.5,11881865.07,29104630,1,29105246,9701748.667,16803392.47,29104635,84,29105243,14552621.5,20579649.19,29104631,612,0,0,0,0,136,104,0.137432264,0.103074198,0,230,29.75,80.96163112,6554.785714,0,0,0,1,0,0,0,0,0,34,59.5,0,0,0,0,0,0,0,4,238,3,0,26883,219,2,32,616,0,616,616,29104630,0,29104630,29104630,DoS attacks-Slowloris
DoS attacks-Slowloris,80,6,12.13586957,26,184,12,15/02/2018 11:00:12,29104538,4,3,238,0,230,0,59.5,113.7292106,0,0,0,0,8.17741893,0.240512322,4850756.333,11881678.5,29104131,2,29104536,9701512,16803164.42,29104135,100,29104535,14552267.5,20579445.55,29104133,402,0,0,0,0,136,104,0.137435612,0.103076709,0,230,29.75,80.96163112,6554.785714,0,0,0,1,0,0,0,0,0,34,59.5,0,0,0,0,0,0,0,4,238,3,0,26883,219,2,32,405,0,405,405,29104131,0,29104131,29104131,DoS attacks-Slowloris
DoS attacks-Slowloris,80,6,12.14130435,27,184,12,15/02/2018 11:00:12,29104059,4,3,238,0,230,0,59.5,113.7292106,0,0,0,0,8.177553516,0.24051628,4850676.5,11881480.98,29103648,2,29104057,9701352.333,16802886.14,29103654,81,29104056,14552028,20579101.19,29103650,406,0,0,0,0,136,104,0.137437874,0.103078406,0,230,29.75,80.96163112,6554.785714,0,0,0,1,0,0,0,0,0,34,59.5,0,0,0,0,0,0,0,4,238,3,0,26883,219,2,32,409,0,409,409,29103648,0,29103648,29103648,DoS attacks-Slowloris
DoS attacks-Slowloris,80,6,12.14673913,28,184,12,15/02/2018 11:00:12,29103611,4,3,238,0,230,0,59.5,113.7292106,0,0,0,0,8.177679395,0.240519982,4850601.833,11881305.93,29103216,2,29103609,9701203,16802639.61,29103220,64,29103607,14551803.5,20578807.74,29103218,389,0,0,0,0,136,104,0.13743999,0.103079992,0,230,29.75,80.96163112,6554.785714,0,0,0,1,0,0,0,0,0,34,59.5,0,0,0,0,0,0,0,4,238,3,0,26883,219,2,32,393,0,393,393,29103216,0,29103216,29103216,DoS attacks-Slowloris
DoS attacks-Slowloris,80,6,12.15217391,29,184,12,15/02/2018 11:00:12,29103152,4,3,238,0,230,0,59.5,113.7292106,0,0,0,0,8.177808369,0.240523776,4850525.333,11881118.54,29102757,2,29103150,9701050,16802374.6,29102761,96,29103149,14551574.5,20578482.47,29102759,390,0,0,0,0,136,104,0.137442158,0.103081618,0,230,29.75,80.96163112,6554.785714,0,0,0,1,0,0,0,0,0,34,59.5,0,0,0,0,0,0,0,4,238,3,0,26883,219,2,32,393,0,393,393,29102757,0,29102757,29102757,DoS attacks-Slowloris
DoS attacks-Slowloris,80,6,12.1576087,30,184,12,15/02/2018 11:00:12,29102642,4,3,238,0,230,0,59.5,113.7292106,0,0,0,0,8.177951679,0.240527991,4850440.333,11880906.42,29102239,2,29102640,9700880,16802073.23,29102243,75,29102639,14551319.5,20578110.53,29102241,398,0,0,0,0,136,104,0.137444566,0.103083425,0,230,29.75,80.96163112,6554.785714,0,0,0,1,0,0,0,0,0,34,59.5,0,0,0,0,0,0,0,4,238,3,0,26883,219,2,32,401,0,401,401,29102239,0,29102239,29102239,DoS attacks-Slowloris
DoS attacks-Slowloris,80,6,12.16304348,31,184,12,15/02/2018 11:00:12,29102132,4,3,238,0,230,0,59.5,113.7292106,0,0,0,0,8.178094993,0.240532206,4850355.333,11880588.96,29101506,1,29102131,9700710.333,16801586.23,29101511,86,29102128,14551064,20577433.83,29101507,621,0,0,0,0,136,104,0.137446975,0.103085231,0,230,29.75,80.96163112,6554.785714,0,0,0,1,0,0,0,0,0,34,59.5,0,0,0,0,0,0,0,4,238,3,0,26883,219,2,32,625,0,625,625,29101506,0,29101506,29101506,DoS attacks-Slowloris
DoS attacks-Slowloris,80,6,12.16847826,32,184,12,15/02/2018 11:00:12,29101432,4,3,238,0,230,0,59.5,113.7292106,0,0,0,0,8.178291707,0.240537991,4850238.667,11880418.31,29101041,2,29101430,9700476.667,16801385.02,29101045,79,29101429,14550714.5,20577271.9,29101043,386,0,0,0,0,136,104,0.137450281,0.103087711,0,230,29.75,80.96163112,6554.785714,0,0,0,1,0,0,0,0,0,34,59.5,0,0,0,0,0,0,0,4,238,3,0,26883,219,2,32,389,0,389,389,29101041,0,29101041,29101041,DoS attacks-Slowloris
DoS attacks-Slowloris,80,6,12.17391304,33,184,12,15/02/2018 11:00:12,29100897,4,3,238,0,230,0,59.5,113.7292106,0,0,0,0,8.17844206,0.240542414,4850149.5,11880043.63,29100187,2,29100895,9700298.333,16800807.68,29100200,61,29100886,14550443,20576448.12,29100189,697,0,0,0,0,136,104,0.137452808,0.103089606,0,230,29.75,80.96163112,6554.785714,0,0,0,1,0,0,0,0,0,34,59.5,0,0,0,0,0,0,0,4,238,3,0,26883,219,2,32,708,0,708,708,29100187,0,29100187,29100187,DoS attacks-Slowloris
DoS attacks-Slowloris,80,6,12.17934783,34,184,12,15/02/2018 11:00:12,29100110,4,3,238,0,230,0,59.5,113.7292106,0,0,0,0,8.178663242,0.240548919,4850018.333,11879868.32,29099698,2,29100108,9700036,16800604.45,29099703,103,29100106,14550053,20576308.12,29099700,406,0,0,0,0,136,104,0.137456525,0.103092394,0,230,29.75,80.96163112,6554.785714,0,0,0,1,0,0,0,0,0,34,59.5,0,0,0,0,0,0,0,4,238,3,0,26883,219,2,32,410,0,410,410,29099698,0,29099698,29099698,DoS attacks-Slowloris
DoS attacks-Slowloris,80,6,12.18478261,35,184,12,15/02/2018 11:00:12,29099635,4,3,238,0,230,0,59.5,113.7292106,0,0,0,0,8.178796744,0.240552845,4849939.167,11879664.12,29099202,2,29099633,9699877.667,16800311.15,29099206,86,29099632,14549816,20575941.83,29099204,428,0,0,0,0,136,104,0.137458769,0.103094077,0,230,29.75,80.96163112,6554.785714,0,0,0,1,0,0,0,0,0,34,59.5,0,0,0,0,0,0,0,4,238,3,0,26883,219,2,32,431,0,431,431,29099202,0,29099202,29099202,DoS attacks-Slowloris
DoS attacks-Slowloris,80,6,12.19021739,36,184,12,15/02/2018 11:00:12,29099142,4,3,238,0,230,0,59.5,113.7292106,0,0,0,0,8.17893531,0.240556921,4849857,11879480.98,29098746,2,29099140,9699713.333,16800058.56,29098750,96,29099139,14549569.5,20575645.56,29098748,391,0,0,0,0,136,104,0.137461098,0.103095823,0,230,29.75,80.96163112,6554.785714,0,0,0,1,0,0,0,0,0,34,59.5,0,0,0,0,0,0,0,4,238,3,0,26883,219,2,32,394,0,394,394,29098746,0,29098746,29098746,DoS attacks-Slowloris
DoS attacks-Slowloris,80,6,12.19565217,37,184,12,15/02/2018 11:00:12,29098723,7,3,928,0,230,0,132.5714286,121.5440347,0,0,0,0,31.89143386,0.343657693,3233191.444,9385088.432,28256896,2,29098721,4849786.833,11468217.26,28256928,70,29098720,14549360,19385386.15,28256898,841822,0,0,0,0,232,104,0.240560385,0.103097308,0,230,84.36363636,115.4878978,13337.45455,0,0,0,1,0,0,0,0,0,92.8,132.5714286,0,0,0,0,0,0,0,7,928,3,0,26883,219,5,32,841825,0,841825,841825,28256896,0,28256896,28256896,DoS attacks-Slowloris
DoS attacks-Slowloris,80,6,12.20108696,38,184,12,15/02/2018 11:00:12,29098267,8,3,928,0,230,0,116,121.8992558,0,0,0,0,31.89193363,0.378029386,2909826.7,8563331.008,27265021,2,29098265,4156895,10195492.81,27265025,209,28096981,14048490.5,18690999.51,27265023,831958,0,0,0,0,272,104,0.274930462,0.103098923,0,230,77.33333333,112.7743792,12718.06061,0,0,0,1,0,0,0,0,0,84.36363636,116,0,0,0,0,0,0,0,8,928,3,0,26883,219,5,32,1833244,0,1833244,1833244,27265021,0,27265021,27265021,DoS attacks-Slowloris
DoS attacks-Slowloris,80,6,12.20652174,39,184,12,15/02/2018 11:00:12,3871708,8,2,920,0,230,0,115,122.9401713,0,0,0,0,237.6212256,2.582839408,430189.7778,680927.0147,2016063,3,3871704,553100.5714,734100.3915,2016063,407,832019,832019,0,832019,832019,0,0,0,0,280,72,2.066271527,0.516567882,0,230,83.63636364,116.0407452,13465.45455,0,0,0,1,0,0,0,0,0,92,115,0,0,0,0,0,0,0,8,920,2,0,26883,219,4,32,0,0,0,0,0,0,0,0,DoS attacks-Slowloris
DoS attacks-Slowloris,80,6,12.21195652,40,184,12,15/02/2018 11:00:12,81744524,4,3,238,0,230,0,59.5,113.7292106,0,0,0,0,2.911510011,0.085632647,13624087.33,33370750.24,81741846,3,81744519,27248173,47192908.64,81741850,417,81744521,40872260.5,57798329.17,81741851,2670,0,0,0,0,136,104,0.048932941,0.036699706,0,230,29.75,80.96163112,6554.785714,0,0,0,1,0,0,0,0,0,34,59.5,0,0,0,0,0,0,0,4,238,3,0,26883,219,2,32,2673,0,2673,2673,81741846,0,81741846,81741846,DoS attacks-Slowloris
DoS attacks-Slowloris,80,6,12.2173913,41,184,12,15/02/2018 11:00:12,81739253,4,3,238,0,230,0,59.5,113.7292106,0,0,0,0,2.911697762,0.08563817,13623208.83,33369668.78,81738760,2,81739251,27246417,47191756.81,81738764,156,81739250,40869625,57797687.83,81738762,488,0,0,0,0,136,104,0.048936097,0.036702073,0,230,29.75,80.96163112,6554.785714,0,0,0,1,0,0,0,0,0,34,59.5,0,0,0,0,0,0,0,4,238,3,0,26883,219,2,32,491,0,491,491,81738760,0,81738760,81738760,DoS attacks-Slowloris
DoS attacks-Slowloris,80,6,12.22282609,42,184,12,15/02/2018 11:00:12,81741852,4,3,238,0,230,0,59.5,113.7292106,0,0,0,0,2.911605184,0.085635447,13623642,33370392.77,81740671,3,81741849,27247283,47192661.81,81740675,336,81741849,40870924.5,57798554.03,81740674,1175,0,0,0,0,136,104,0.048934541,0.036700906,0,230,29.75,80.96163112,6554.785714,0,0,0,1,0,0,0,0,0,34,59.5,0,0,0,0,0,0,0,4,238,3,0,26883,219,2,32,1178,0,1178,1178,81740671,0,81740671,81740671,DoS attacks-Slowloris
DoS attacks-Slowloris,80,6,12.22826087,43,184,12,15/02/2018 11:00:12,81738724,4,3,238,0,230,0,59.5,113.7292106,0,0,0,0,2.911716606,0.085638724,13623120.67,33369472.41,81738271,2,81738722,27246240.67,47191486.04,81738275,133,81738721,40869360.5,57797370.34,81738273,448,0,0,0,0,136,104,0.048936414,0.03670231,0,230,29.75,80.96163112,6554.785714,0,0,0,1,0,0,0,0,0,34,59.5,0,0,0,0,0,0,0,4,238,3,0,26883,219,2,32,451,0,451,451,81738271,0,81738271,81738271,DoS attacks-Slowloris
